IDX,NORMAN_SusDat_ID,DTXSID,concentration_value,concentration_unit,time_point,IDX_l,station_water_combined,lat,lon,station_name_n,country,water_body_name_n,river_basin_name_n,COORDS,EARTH,EUROPE,MARINE,DETECTED,AGGREGATED,DTXSID_AVAILABLE
445545,NS00000096,DTXSID1040320,0,mg/l,2010-09-06T00:00:00Z,1620,autruysurjuine 1_la juine,48.2918361816667,2.09726988805556,autruysurjuine 1,France,la juine,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
779129,NS00004723,DTXSID5037490,0,mg/l,2011-11-23T00:00:00Z,1530,argancon 2_le landion,48.2512153916667,4.6048036025,argancon 2,France,le landion,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
113200,NS00008490,DTXSID5037494,0,mg/l,2008-03-11T00:00:00Z,1116,vn zemplinska sirava_vn zemplinska sirava,NA,NA,vn zemplinska sirava,Slovakia,bodrog,danube,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
337715,NS00008096,DTXSID7021360,0,mg/l,2001-05-15T00:00:00Z,1497,keizersveer m865_NA,NA,NA,keizersveer m865,Netherlands,meuse,meuse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
407271,NS00010268,DTXSID3022455,0,mg/l,2010-10-25T00:00:00Z,1557,bassou 1_lyonne,47.9264096213889,3.51953192444444,bassou 1,France,lyonne,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
354370,NS00008490,DTXSID5037494,0.00009,mg/l,2003-08-04T00:00:00Z,1498,luik m600_NA,50.653333,5.616389,luik m600,Netherlands,meuse,meuse,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
694664,NS00000261,DTXSID0037495,0,mg/l,2010-11-05T00:00:00Z,2003,saintsamson 1_la dives,49.18427075,0.164218831944444,saintsamson 1,France,la dives,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
631220,NS00001740,DTXSID4020791,0,mg/l,2010-11-09T00:00:00Z,1902,petitcouronne 1_la seine,49.379279835,1.00811834916667,petitcouronne 1,France,la seine,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
455071,NS00003145,DTXSID1020855,0,mg/l,2010-03-01T00:00:00Z,1636,touquin 1_le ru de letang de beuvron,48.7304213961111,3.02770850805556,touquin 1,France,le ru de letang de beuvron,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
303361,NS00000528,DTXSID7021100,0,mg/l,2000-01-25T00:00:00Z,1494,eijsden m615_maas,NA,NA,eijsden m615,Netherlands,meuse,meuse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
